gene1,gene2
ENSG00000000971,ENSG00000114019
ENSG00000001084,ENSG00000153071
ENSG00000001084,ENSG00000078668
ENSG00000001167,ENSG00000170373
ENSG00000001497,ENSG00000090104
ENSG00000001626,ENSG00000081692
ENSG00000002016,ENSG00000111087
ENSG00000002016,ENSG00000081853
ENSG00000002330,ENSG00000175324
ENSG00000002549,ENSG00000162650
ENSG00000002586,ENSG00000088538
ENSG00000002726,ENSG00000077684
ENSG00000002745,ENSG00000143398
ENSG00000003096,ENSG00000160188
ENSG00000003096,ENSG00000234602
ENSG00000003096,ENSG00000032742
ENSG00000003137,ENSG00000153820
ENSG00000003137,ENSG00000088926
ENSG00000003393,ENSG00000126870
ENSG00000003400,ENSG00000213341
ENSG00000003400,ENSG00000167419
ENSG00000003400,ENSG00000133937
ENSG00000003400,ENSG00000125409
ENSG00000003400,ENSG00000167858
ENSG00000003400,ENSG00000183690
ENSG00000003400,ENSG00000213085
ENSG00000003400,ENSG00000096093
ENSG00000003402,ENSG00000213341
ENSG00000003402,ENSG00000182890
ENSG00000003509,ENSG00000197081
ENSG00000003509,ENSG00000100083
ENSG00000003509,ENSG00000125447
ENSG00000003509,ENSG00000103365
ENSG00000003987,ENSG00000130876
ENSG00000003987,ENSG00000117153
ENSG00000003987,ENSG00000107882
ENSG00000004059,ENSG00000090565
ENSG00000004399,ENSG00000175535
ENSG00000004399,ENSG00000147535
ENSG00000004399,ENSG00000182333
ENSG00000004399,ENSG00000213996
ENSG00000004399,ENSG00000167701
ENSG00000004399,ENSG00000100347
ENSG00000004399,ENSG00000175445
ENSG00000004399,ENSG00000074416
ENSG00000004399,ENSG00000177666
ENSG00000004399,ENSG00000006530
ENSG00000004399,ENSG00000166035
ENSG00000004399,ENSG00000203837
ENSG00000004399,ENSG00000101670
ENSG00000004399,ENSG00000203805
ENSG00000004399,ENSG00000187021
ENSG00000004455,ENSG00000054282
ENSG00000004468,ENSG00000242110
ENSG00000004468,ENSG00000147697
ENSG00000004468,ENSG00000164047
ENSG00000004468,ENSG00000108590
ENSG00000004478,ENSG00000186197
ENSG00000004487,ENSG00000111790
ENSG00000004487,ENSG00000164047
ENSG00000004487,ENSG00000111087
ENSG00000004779,ENSG00000150961
ENSG00000004779,ENSG00000122376
ENSG00000004779,ENSG00000184697
ENSG00000004779,ENSG00000272398
ENSG00000004779,ENSG00000124571
ENSG00000004779,ENSG00000152952
ENSG00000004779,ENSG00000167080
ENSG00000004779,ENSG00000169855
ENSG00000004864,ENSG00000267796
ENSG00000004897,ENSG00000125266
ENSG00000004961,ENSG00000153071
ENSG00000004975,ENSG00000105270
ENSG00000004975,ENSG00000140009
ENSG00000005007,ENSG00000163348
ENSG00000005007,ENSG00000117118
ENSG00000005022,ENSG00000168002
ENSG00000005022,ENSG00000185049
ENSG00000005022,ENSG00000082258
ENSG00000005022,ENSG00000105656
ENSG00000005022,ENSG00000129315
ENSG00000005022,ENSG00000197837
ENSG00000005022,ENSG00000144161
ENSG00000005022,ENSG00000204356
ENSG00000005022,ENSG00000128915
ENSG00000005022,ENSG00000166477
ENSG00000005022,ENSG00000103363
ENSG00000005022,ENSG00000100142
ENSG00000005022,ENSG00000136807
ENSG00000005022,ENSG00000099817
ENSG00000005022,ENSG00000164151
ENSG00000005022,ENSG00000154582
ENSG00000005022,ENSG00000140395
ENSG00000005022,ENSG00000181222
ENSG00000005022,ENSG00000144597
ENSG00000005022,ENSG00000149136
ENSG00000005022,ENSG00000124635
ENSG00000005022,ENSG00000144231
ENSG00000005022,ENSG00000101158
ENSG00000005022,ENSG00000145088
ENSG00000005022,ENSG00000072364
ENSG00000005022,ENSG00000130382
ENSG00000005022,ENSG00000177700
ENSG00000005022,ENSG00000109911
ENSG00000005022,ENSG00000011007
ENSG00000005022,ENSG00000134371
ENSG00000005022,ENSG00000198730
ENSG00000005022,ENSG00000129460
ENSG00000005022,ENSG00000164751
ENSG00000005022,ENSG00000225830
ENSG00000005022,ENSG00000137815
ENSG00000005022,ENSG00000171703
ENSG00000005022,ENSG00000124578
ENSG00000005022,ENSG00000092201
ENSG00000005022,ENSG00000102978
ENSG00000005022,ENSG00000155827
ENSG00000005022,ENSG00000105258
ENSG00000005022,ENSG00000213246
ENSG00000005022,ENSG00000103549
ENSG00000005022,ENSG00000047315
ENSG00000005022,ENSG00000187735
ENSG00000005022,ENSG00000172493
ENSG00000005022,ENSG00000196235
ENSG00000005022,ENSG00000109111
ENSG00000005022,ENSG00000188986
ENSG00000005022,ENSG00000118985
ENSG00000005022,ENSG00000171843
ENSG00000005022,ENSG00000128886
ENSG00000005075,ENSG00000224877
ENSG00000005075,ENSG00000032742
ENSG00000005075,ENSG00000198176
ENSG00000005075,ENSG00000065054
ENSG00000005075,ENSG00000147065
ENSG00000005075,ENSG00000099995
ENSG00000005156,ENSG00000055917
ENSG00000005175,ENSG00000146013
ENSG00000005189,ENSG00000242247
ENSG00000005339,ENSG00000132394
ENSG00000005339,ENSG00000102100
ENSG00000005339,ENSG00000183579
ENSG00000005339,ENSG00000226761
ENSG00000005381,ENSG00000164816
ENSG00000005421,ENSG00000229117
ENSG00000005421,ENSG00000145414
ENSG00000005812,ENSG00000100836
ENSG00000005844,ENSG00000069248
ENSG00000005844,ENSG00000166263
ENSG00000005844,ENSG00000074211
ENSG00000005882,ENSG00000100441
ENSG00000005884,ENSG00000144635
ENSG00000005884,ENSG00000196139
ENSG00000005884,ENSG00000074211
ENSG00000005961,ENSG00000114019
ENSG00000005961,ENSG00000196139
ENSG00000005981,ENSG00000134780
ENSG00000005981,ENSG00000032742
ENSG00000006062,ENSG00000181029
ENSG00000006062,ENSG00000165698
ENSG00000006062,ENSG00000213413
ENSG00000006071,ENSG00000092096
ENSG00000006116,ENSG00000129055
ENSG00000006125,ENSG00000183831
ENSG00000006210,ENSG00000275700
ENSG00000006210,ENSG00000113594
ENSG00000006453,ENSG00000213218
ENSG00000006530,ENSG00000139289
ENSG00000006530,ENSG00000114021
ENSG00000006530,ENSG00000004399
ENSG00000006606,ENSG00000175224
ENSG00000006606,ENSG00000108602
ENSG00000006606,ENSG00000120314
ENSG00000006606,ENSG00000073536
ENSG00000006611,ENSG00000115392
ENSG00000006625,ENSG00000078668
ENSG00000006634,ENSG00000157404
ENSG00000006634,ENSG00000118965
ENSG00000006634,ENSG00000146094
ENSG00000006652,ENSG00000175793
ENSG00000006652,ENSG00000158092
ENSG00000006652,ENSG00000135605
ENSG00000006652,ENSG00000043462
ENSG00000006652,ENSG00000007312
ENSG00000006652,ENSG00000177885
ENSG00000006652,ENSG00000134215
ENSG00000006652,ENSG00000105369
ENSG00000006652,ENSG00000010671
ENSG00000006652,ENSG00000197943
ENSG00000006652,ENSG00000110395
ENSG00000006652,ENSG00000115085
ENSG00000006652,ENSG00000165025
ENSG00000006652,ENSG00000160293
ENSG00000006652,ENSG00000177455
ENSG00000006652,ENSG00000147010
ENSG00000006652,ENSG00000254087
ENSG00000006652,ENSG00000141968
ENSG00000006695,ENSG00000111537
ENSG00000006695,ENSG00000153071
ENSG00000006704,ENSG00000108510
ENSG00000006712,ENSG00000224877
ENSG00000006712,ENSG00000198176
ENSG00000006712,ENSG00000147065
ENSG00000006712,ENSG00000167850
ENSG00000006715,ENSG00000160282
ENSG00000006715,ENSG00000203747
ENSG00000006747,ENSG00000213218
ENSG00000006757,ENSG00000156304
ENSG00000006757,ENSG00000088926
ENSG00000006788,ENSG00000179761
ENSG00000006788,ENSG00000113552
