Gene stable ID,drug_claim_name,drug_target_genes,genes_PPI1
ENSG00000000971,#TT-30#eculizumab#Trumenba,,",ENSG00000114019"
ENSG00000001084,#sulfamethoxazole#BSO#CISPLATIN#CBDCA#BUTHIONINE SULPHOXIMINE#ETHANOL#L-BUTHIONINE SULFOXIMINE#ANTIOXIDANT#BUTHIONINE SULFOXIMINE,,",ENSG00000153071,ENSG00000078668"
ENSG00000001626,#IOWH-032#NAVOCAFTOR#latonduine a#cysteamine#GENISTEIN#IVACAFTOR#iOWH032#ABBV-2222#Tezacaftor#VORINOSTAT#VITAMIN A#BAMOCAFTOR#CROFELEMER#VX-809#ABBV-3067#Crofelemer#ABBV-2451#Tezacaftor and ivacaftor#SCRIPTAID#curcumin#OLACAFTOR#GLPG-1837#LUMACAFTOR#elexacaftor / tezacaftor / ivacaftor#Lumacaftor + ivacaftor#ABBV-2737#IVACAFTOR#TEZACAFTOR#tezacaftor#ENTINOSTAT#GALICAFTOR#ICENTICAFTOR#ivacaftor / tezacaftor#nppb#TRICHOSTATIN#Ivacaftor#genistein#VX-661#Ivacaftor#ELEXACAFTOR#Elexacaftor#CROFELEMER#LUMACAFTOR#Lumacaftor#Lumacaftor,,",ENSG00000081692"
ENSG00000002016,"#SJ000071854#NSC-69187#SJ000114961#MITOXANTRONE DIHYDROCHLORIDE#NSC-695801#NSC-130813#GNF-PF-3736#SJ000180366#5-(N,N-DIMETHYL)AMILORIDE HYDROCHLORIDE#IMATINIB MESYLATE#NSC-155693#FLUPHENAZINE HYDROCHLORIDE#DNDI1417346#HYCANTHONE#GNF-PF-4674#DNDI1416969#CHLORPROMAZINE HYDROCHLORIDE#SJ000116228#(+/-)-OCTOCLOTHEPIN MALEATE#MMV006513#CIS-(Z)-FLUPENTHIXOL DIHYDROCHLORIDE#GNF-PF-3515#DNDI1417006#PERPHENAZINE#GNF-PF-1241#THIETHYLPERAZINE MALATE#CHLORHEXIDINE#DNDI1383301#DNDI1417388#PINAFIDE#(-)-DICENTRINE#TEGASEROD MALEATE#THIORIDAZINE HYDROCHLORIDE#AMINACRINE HYDROCHLORIDE#NSC-339578#GNF-PF-3265#METHIOTHEPIN MESYLATE#JNJ-5207852#SJ000279525#SJ000201681#DNDI1395216#BENOXINATE HYDROCHLORIDE#TCMDC-123516#SJ000071821#MMV667491#FENOLDOPAM MESYLATE#DNDI1417331#NSC-632536#AMSACRINE HYDROCHLORIDE#GNF-PF-4029#METHYLBENZETHONIUM CHLORIDE#GNF-PF-4659#R(-)-APOCODEINE HCL#TRIFLUOPERAZINE#BERBERINE CHLORIDE#SJ000029259#HYDROXYSTILBAMIDINE ISETHIONATE#SJ000114950#GNF-PF-2713#GR-127935#AROMOLINE#PROPIONYLPROMAZINE HYDROCHLORIDE#TCMDC-125575#GNF-PF-2657#NSC-317605#GNF-PF-3343#APOMORPHINE HYDROCHLORIDE HEMIHYDRATE#MITOXANTRONE#TCMDC-124495#TCMDC-123532#OXIDOPAMINE HYDROCHLORIDE#JATRORRHIZINE#PANCURONIUM BROMIDE#TCMDC-124266#METHYLTHIONINIUM CHLORIDE#TCMDC-124356#GNF-PF-3176#PALMATINE CHLORIDE#BENZETHONIUM CHLORIDE#PROCHLORPERAZINE EDISYLATE#TALIPEXOLE HYDROCHLORIDE#TCMDC-125813#FAGARONINE#GNF-PF-4102#CETYLPYRIDINIUM CHLORIDE HYDRATE#CETYLPYRIDINIUM BROMIDE#TCMDC-123916",,",ENSG00000111087,ENSG00000081853"
ENSG00000002330,#RUBOXISTAURIN#AT-101,,",ENSG00000175324"
ENSG00000002549,#TOSEDOSTAT,,",ENSG00000162650"
ENSG00000002726,#clozapine#AMITRIPTYLINE#PROXIBARBAL,,",ENSG00000077684"
ENSG00000003137,#TALAROZOLE,,",ENSG00000153820,ENSG00000088926"
ENSG00000003400,#EMRICASAN,,",ENSG00000213341,ENSG00000167419,ENSG00000133937,ENSG00000125409,ENSG00000167858,ENSG00000183690,ENSG00000213085,ENSG00000096093"
ENSG00000003402,#CABOZANTINIB#DEHYDROEQUOL#DOVITINIB#BAY-11-7085#FINASTERIDE#NINTEDANIB#BICALUTAMIDE,,",ENSG00000213341,ENSG00000182890"
ENSG00000004455,#adefovir dipivoxil#tenofovir,,",ENSG00000054282"
